2024-01-05  [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=181|52=20240105-08:18:33|10=096|
2024-01-05 09:36:40.550 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=11|52=20240105-08:36:40|10=037|
2024-01-05 09:37:09.059 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=18|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:37:09.059|10=249|
2024-01-05 09:37:10.551 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=12|52=20240105-08:37:10|10=036|
2024-01-05 09:37:39.023 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=19|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:37:39.021|10=242|
2024-01-05 09:37:40.552 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=13|52=20240105-08:37:40|10=040|
2024-01-05 09:38:08.968 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=20|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:38:08.968|10=251|
2024-01-05 09:38:10.555 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=14|52=20240105-08:38:10|10=039|
2024-01-05 09:38:38.922 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=21|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:38:38.922|10=245|
2024-01-05 09:38:40.557 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=15|52=20240105-08:38:40|10=043|
2024-01-05 09:39:08.870 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=22|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:39:08.870|10=246|
2024-01-05 09:39:10.559 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=16|52=20240105-08:39:10|10=042|
2024-01-05 09:39:38.824 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=23|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:39:38.823|10=248|
2024-01-05 09:39:40.561 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=17|52=20240105-08:39:40|10=046|
2024-01-05 09:40:08.782 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=24|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:40:08.782|10=242|
2024-01-05 09:40:10.565 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=18|52=20240105-08:40:10|10=036|
2024-01-05 09:40:38.724 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=25|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:40:38.723|10=241|
2024-01-05 09:40:40.566 [47] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=57|35=0|49=FIXCLIENT1|56=DMA_HUB|34=19|52=20240105-08:40:40|10=040|
2024-01-05 09:41:08.684 [46] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=61|35=0|34=26|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:41:08.683|10=245|
